,Ey,Ez,Ex,U3,U2,U4
tl2,33.851355901024796,-15.22371166459247,5.911946064737908,-24.342645855392337,6.940257576493749,3.5460437341019064
tl3,-11.208727410404178,0.048098571855983326,5.5209869679762615,5.373544802829349,-2.8791046730905614,0.039726080214347544
tl4,33.760335461848655,15.000462052496706,5.9148986807398085,-24.19741404489161,6.964341800555023,-3.9073144871763508
tr2,-33.851355901027084,-15.223711664592635,5.911946064738095,24.342645855392316,6.940257576493265,-3.546043734101898
tr3,11.20872741040508,0.04809857185603004,5.520986967976174,-5.3735448028292065,-2.8791046730904317,-0.039726080214340494
tr4,-33.76033546185089,15.000462052496362,5.9148986807401895,24.19741404489171,6.964341800554484,3.9073144871763716
