,Ey,Ez,Ex,U3,U4,U2,U5,U1
tl1,0.0005039655916681785,-0.15437359179682628,0.000723538945113558,-0.00037465752651822336,0.07322913459465015,0.4367798070467985,-0.060727879384742285,0.06486160884203307
tl2,-0.06113115549801132,-10.703991454186072,-0.0927767303597514,0.06727554876437684,13.941080886939782,6.710463121416256,-2.5309769373232163,1.2547758958919795
tl3,-6.011606729483519,-0.009695063039258708,1.9219517713419434,-1.1459426239570603,-0.08044400332684212,-1.720125064559664,-0.06997053291809388,1.2578486531795636
tl4,-0.5389850204629805,11.172231512848292,0.5109827961643189,-0.21477624986129074,-13.600353174490499,4.747906045339717,2.6867930822910973,0.6806200198087367
tl5,-0.009799525837343902,0.1841110521906518,0.007341399643535922,-0.001014219505808042,-0.10335365518012973,-0.24208496641659588,0.08602309646255084,-0.03312243112284981
tr1,0.002112041362310778,-0.09061767212993034,0.00899543281128554,-0.0029767733808752183,-0.3287468515186704,0.3808737952899919,-0.09444804835490007,0.05586411814871372
tr2,0.3327228005842589,-6.499980633932538,0.5684421465504808,-0.07642099006971903,-17.660577910951208,5.264826482063612,-5.322682303076492,0.7957250663738559
tr3,5.9709014647379774,-0.125050267876086,1.9292105624288767,1.1389368723975097,0.6386180978989299,-1.8599472947610547,0.12930725345966335,1.344024416266898
tr4,0.459598541557201,8.50542015377189,0.028348945147189296,0.11367418528854971,9.3718660536502,7.470567238616439,4.234991116403235,1.2444441391469787
tr5,0.005957921607939492,0.18322210920589727,-0.0023597560345674485,0.0026474827022202746,0.23758983510517978,0.46460270487020366,0.04356563566061524,0.07154152133684295
bl1,0.005031543762024942,-0.14799078714504868,-0.008612625552025752,0.00045200024069174673,0.2024811114976722,0.517805623530735,0.052464357594147366,0.07366054446479368
bl2,-0.11476628912018788,-12.112053263223448,-0.5662080155003416,0.16480451148254185,16.49150148599507,10.134704138891,5.030882363087677,1.7050792519659763
bl3,-6.092965727886995,0.1595384495235943,-1.8870870170468852,1.0298927660114496,-0.7459443907494185,-2.3068332609551128,-0.02162517796231939,1.1974810797750006
bl4,-0.2646118172035594,11.365610553356326,-0.13508185373446943,-0.0013135769891470589,-5.0074157428542545,9.111695234975903,-4.09008615779275,1.4271626383842264
bl5,-0.0023906923674573833,0.256204155127858,0.005218263784828883,-0.0049587709681958555,-0.4779144140633615,0.6208902422589186,-0.10515282095912963,0.08480332398320595
br1,0.001963018895381895,-0.13758659846781202,0.00037340880867769874,-0.0024337934561693133,-0.19911788422058377,0.038599386393798875,0.037393531492548454,0.00803613875109663
br2,0.18906390085311867,-7.735892537491156,0.13406330863305058,-0.2484480894883493,-16.83813487050322,7.214554131488135,1.086046862245427,0.9779670592679074
br3,6.023801733695687,-0.16082520793821728,-1.9612723099096891,-1.0407365261748696,0.3826534750524636,-2.1340491015645626,0.2101049719465134,1.1747188596868234
br4,0.5966068480873304,9.807134433232507,-0.34543703508823587,0.006109023222105381,4.93551703410747,7.222671564165524,-4.204696132294686,1.27551949013267
br5,0.005219868288069725,0.026557903677862205,-0.020276146748821514,0.012740223046353496,0.8301164527858425,-0.711584367720647,0.05009467551044718,-0.09222524519317546
