,Ey,Ez,Ex,U3,U4,U2,U5,U1
DC0,-0.025818138813066528,-0.07254211662081061,-0.0008846832384241971,-0.4515836939564634,0.003664673953644052,0.1823021702917595,-0.00016037804917844937,0.008573039629327725
DC1,3.033819380697657,1.581479478302498,0.015631540870504654,14.919496505878273,0.544290893832007,0.27511080304294716,0.03301559350895646,-0.5093401976678203
DC2,0.725312601043061,-0.3333704221370921,-0.01730321821157367,-16.62494002185526,-0.43781068847789617,0.009760925433067898,-0.009214023308648737,-0.1391111610235537
DC3,-0.838335116518636,1.2127504692530882,-2.1769378942024415,-16.13261837845591,0.1393168992635496,0.37945971095209324,-0.6262781934580247,0.5229225648564845
DC4,0.00530633019624583,-0.14138745641937586,-1.5866938727916648,1.0609885886923882,-0.005717795105646308,-0.03933850441210177,0.5226303303660554,0.415524196057298
DC5,-1.4356052629387985,1.527234903605411,-0.018131040721482253,14.615719998643279,-0.7204268152270971,0.27448679513517105,-0.033483171434054715,-0.48901441494216846
DC6,-2.4366304613193948,-0.3148645873566007,-0.010084091643666972,-15.910911044971375,0.6341080692996396,0.017175255620683803,0.0034587262508781677,-0.13563781113270007
DC7,-0.7800335571681755,1.2540791228837216,2.1738252843160457,-15.89468283940271,0.08317654948940292,0.3797427868969927,0.6271674512875995,0.5067900306025961
DC8,0.0032494373542064775,-0.15120271659615642,1.560113972077855,0.8064055589130128,-0.0009980176594806467,-0.04123988321951306,-0.528726866818127,0.4170351220981139
